Title	Author(s)
Flesh in the Age of Reason: The Modern Foundations of Body and Soul	Roy Porter
Fooled by Randomness	Nassim Nicholas Taleb
Forbidden Planet	W. J. Stuart
François Truffaut: The Adventures of Antoine Doinel	Anne Gillain
Frontlines: Snapshots of History	Nicholas Moore and Sidney Weiland (editors)
Get in the Game: 8 Elements of Perseverance That Make the Difference	Cal Ripken Jr.
Good to Great: Why Some Companies Make the Leap...And Others Don't	Jim Collins
Great Battles of the Civil War	Swafford Johnston
Great Prints & Printmakers	Herman J. Wechsler
Half of a Yellow Sun	Chimamanda Ngozi Adichie
Half the Sky: Turning Oppression into Opportunity for Women Worldwide	Nicholas D. Kristof and Sheryl WuDunn
Heretics in the Middle Ages	Martin Erbstosser
High Output Management	Andrew S. Grove
Homegoing	Yaa Gyasi
How to Change Your Mind	Michael Pollan
Human Compatible: Artificial Intelligence and the Problem of Control	Stuart Russell
I Am a Strange Loop	Douglas Hofstadter
Ibsen: A biography	Michael Leverson Meyer
Identical	Scott Turow
Infinite Jest	David Foster Wallace
Inside U.S.A.	John Gunther
Intent to Harm	Stan Washburn
Into Thin Air	Jon Krakauer
Irenicon	Aidan Harte
"Jerusalem, Sacred City of Mankind: A History of Forty Centuries"	Teddy Kollek and Moshe Pearlma
Kafka on the Shore	Haruki Murakami
King Arthur's Place in Prehistory: The Great Age of Stonehenge	W. A. Cummins
Kingdom Keepers IV	Ridley Pearson
Kiss of Broken Glass	Madeleine Kuderick
"Lean In: Women, Work, and the Will to Lead"	Sheryl Sandberg
Life with Picasso	Françoise Gilot and Carlton Lake
Liftoff	Eric Berger
Lladro: The Magic World of Porcelain	Ricardo Martin (editor)
Lolita	Vladimir Nabokov
Mesopotamia: The Mighty Kings (Lost Civilizations)	Dale M. Brown
Mind Children: The Future of Robot and Human Intelligence	Hans Moravec
Mindset: The New Psychology of Success	Carol S. Dweck
Modern Drawings (The Museum of Modern Art)	[unknown author]
Multipliers: How the Best Leaders Make Everyone Smarter	Liz Wiseman
National Geographic Concise History of the World: An Illustrated Time Line	Neil Kagan
Navajo: Portrait of a Nation	Joel Grimes
Neuromancer	William Gibson
Never Cry Wolf	Farley Mowat
Never Never	James Patterson
New Voices in the American Theatre (Modern Library)	[unknown author]
Night Owl	Andrew Mayne
"Nimble, Focused, Feisty"	Sara Roberts
Nine Lives	Wendy Corsi Staub
Objets D'Art	[unknown author]
Old Man's War	John Scalzi
On Tyranny	Timothy Snyder
Open Leadership	Charlene Li
Operation Nemesis: The Assassination Plot that Avenged the Armenian Genocide	Eric Bogosian
Outlander	Diana Gabaldon
People and Politics: The years 1960-1975	Willy Brandt
Persians: Masters of the Empire	Time-Life Books
Playing with Boys: A Novel	Alisa Valdes-Rodriguez
Portrait of an Artist: A Biography of Georgia O'Keeffe	Laurie Lisle
"Power, Faith, and Fantasy"	Michael B. Oren
Profiles of the Future [four copies]	Arthur C. Clarke
Puerto Vallarta Squeeze	Robert James Waller
Radical Candor	Kim Scott
Restoration Plays	Brice Harris (editor)
Romanesque Art	George Zarnecki
Rome: Echoes of Imperial Glory	Dale M. Brown
Royal Panoply: Brief Lives of the English Monarchs	Carolly Erickson
Salt Fish Girl	Larissa Lai
Sapiens: A Brief History of Humankind	Yuval Noah Harari
Secret Sanction	Brian Haig
Shantaram: A Novel	Gregory David Roberts
Sinners and Saints	Eileen Dreyer
Skeleton Man	Tony Hillerman
Skin in the Game	Nassim Nicholas Taleb
Smokin' Seventeen	Janet Evanovich
Snare of Serpents	Victoria Holt
Soldiers: A History of Men in Battle	John Keegan and Richard Holmes
Southern Cross	Patricia Cornwell
Sprint	Jake Knapp
Stonehenge and its Mysteries	Michael Balfour
Story of the Royal Family	Don Coolican
Sumer: Cities of Eden	Time-Life Books
Synners	Pat Cadigan
Tell It To The King	Larry King
The 15 Commitments of Conscious Leadership: A New Paradigm for Sustainable Success Paperback	"Jim Dethmer, Diana Chapman, and Kaley Klemp"
The Art of War in the Western World	Archer Jones
The Art of the Renaissance	Peter and Linda Murray
The Ascent of Man	Jacob Bronowski
The Baker's Wife	Erin Healy
The Bed of Procrustes	Nassim Nicholas Taleb
The Beginning of Infinity	David Deutsch
The Black Swan	Nassim Nicholas Taleb
The Bridges of Madison County	Robert James Waller
The Change Masters	Rosabeth Moss Kanter
The Chronicles of Vladimir Tod -- Twelfth Grade Kills	Heather Brewer
The Complete Etchings of Goya	Aldous Huxley
The Courage to be Disliked	Ichiro Kishimi and Fumitake Koga
The Culture Code	Daniel Coyle
The Cut	George Pelecanos
"The Dark Forest (The Three-Body Problem Series, Part 2)"	Cixin Liu
The Encyclopedia of World History	[unknown author]
The Expanding World	Esmond Wright (editor)
The Fellowship of the Ring	J.R.R. Tolkien
The Female Man	Joanna Russ
The Fiery Cross	Diana Gabaldon
The Fortunes	Peter Ho Davies
The Golden Compass	Philip Pullman
The Great Believers	Rebecca Makkai
The Great Stagnation	Tyler Cowen
The Greatest Generation	Tom Brokaw
The Handmaid's Tale	Margaret Atwood
The Hobbit	J.R.R. Tolkien
The Holy Land	Time-Life Books
The Iliad	Homer
The Joy of Mixology	Gary Regan
The Just City	Jo Walton
The Likeness	Tara French
The Long Tomorrow	Leigh Brackett
The Mad Ramblings of an Unaligned AGI	Openai Library
The Magicians: A Novel	Lev Grossman
The Making of Asian America	Erika Lee
The Measure of All Minds	Jose Hernandez-Orallo
The Ministry for the Future	Kim Stanley Robinson
The Most Human Human: What Artificial Intelligence Teaches Us About Being Alive	Brian Christian
The New Painting Impressionism 1874-1886	Charles F. Moffet
The Only Way I Know	Cal Ripkin Jr.
The Origin of Consciousness in the Breakdown of the Bicameral Mind	Julian Jaynes
The Plains Indians Hardcover	Colin F. Taylor
The Precipice [two copies]	Toby Ord
The Prints of Japan	Frank A Turk
The Program	Stephen White
The Ramblers: A Novel	Aidan Donnelley Rowley
The Return of the King	J.R.R. Tolkien
The Revolt of the Public	Martin Gurri
The Scar Boys	Len Vlahos
"The Secret of Our Success: How Culture Is Driving Human Evolution, Domesticating Our Species, and Making Us Smarter"	Joseph Henrich
The Ship Who Sang	Anne McCaffrey
The Sixteen Pleasures	Robert Hellenga
The Soldier Kings: The House of Hohenzollern	Walter Henry Nelson
The Soong Dynasty	Sterling Seagrave
"The Sound of Your Voice, Only Really Far Away"	Frances O'Roark Dowell
The Spirit Catches You and You Fall Down	Anne Fadiman
The Story of Man	Cyril Aydon
The Times Concise Atlas of World History	Geoffrey Barraclough
The Tomb of Tutankhamen Hardcover	Howard Carter
The Two Towers	J.R.R. Tolkien
The U.S. Marine Corps Story	J. Robert Moskin
The Unquiet	John Connolly
The Vacant Chair: The Northern Soldier Leaves Home Hardcover	by Reid Mitchell
The Walls	Hollie Overton
Thomas Jefferson Architect	William L. Beiswanger (Chrysler Museum of Art and Yale University Press)
Timelines of the Arts and Literature	David Brownstone and Irene Franck
True Compass	Edward M. Kennedy
Truth about History	Robert Dolezal
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson"	Mitch Albom
Turning the Tide of War	Tim Newark
Twisted	Jonathan Kellerman
U.S. Camera 1960	Tom Maloney (editor)
Ulysses S. Grant: The Unlikely Hero	Michael Korda
Villages	John Updike
Voyager	Diana Gabaldon
Warpaths	John Keegan
"Weak Courts, Strong Rights"	Mark Tushnet
When Breath Becomes Air	Paul Kalanithi
Where Is Joe Merchant?	Jimmy Buffett
"Winslow Homer: American Artist, His World and His Work"	Albert Ten Eyck Gardner
Woman at Point Zero	Nawal El Saadawi
Written in My Own Heart's Blood	Diana Gabaldon
Written on Her Heart	Alan Maki
